,destination,hotel_name,hotel_score,latitude,longitude,description,url
0,Le Mont-Saint-Michel ,Gîte proche du Mont Saint-Michel accès à pieds,"9,0",48.5983897,-1.503451,"Gîte proche du Mont Saint-Michel accès à piedsDoté d'un jardin, l'établissement est situé à Beauvoir, à 45 km du port de la Houle, à 48 km de la gare de Granville et à 49 km de la pointe du Grouin. Doté d'un parking privé gratuit, il se trouve à 5,8 km de l'abbaye du Mont-Saint-Michel et à 23 km du Scriptorial d'Avranches, musee des manuscrits. du Mont Saint-Michel.

Dotée d'une connexion Wi-Fi gratuite, cette maison de vacances de 2 chambres dispose d'une télévision à écran plat, d'un lave-linge et d'une cuisine avec lave-vaisselle et four. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 49 km du zoo de Champrepus et à 50 km du port de plaisance de Granville. L'aéroport de Rennes-Saint-Jacques, le plus proche, est à 85 km.",https://www.booking.com/hotel/fr/gite-proche-du-mont-saint-michel-acces-a-pieds.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCvtLrqAbAAgHSAiRhMDFmODY2Ny1hNzEzLTQwZmEtOThlZS1hYzAyYTczZTNiMjXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=87ad709f2b490438&srepoch=1696262464&from=searchresults
1,Saint-Malo ,Brit Hotel Le Surcouf,"7,7",48.65773512,-1.99437261,"Situé dans le paisible quartier de Courtoisville, à 150 mètres de la plage et à 5 minutes des thermes, le Brit Hotel propose des chambres charmantes avec connexion Wi-Fi gratuite.

Toutes les chambres avec salle de bains privative du Brit Hotel Le Surcouf sont non-fumeurs. Lumineuses et modernes, elles sont décorées dans des tons violet, beige et orange. Chaque étage arbore une gamme de couleurs différente.

Vous pourrez dégustez un délicieux petit-déjeuner continental à l'hôtel avant de partir à la découverte de Saint-Malo. Pour les sportifs, une école de surf est implantée à proximité.",https://www.booking.com/hotel/fr/le-surcouf.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALC0uuoBsACAdICJDJhYjdmNDQ2LTUwZWMtNDFhNS05YjkyLWIwOTJjZDAxNmIxZNgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ea8b70a18dfe02a8&srepoch=1696262468&from=searchresults
2,Bayeux ,Hôtel Le Bayeux,"7,8",49.27415914,-0.70450634,"Situé dans le centre historique de Bayeux, en Basse-Normandie, l'Hôtel Le Bayeux propose des hébergements dotés d'une salle de bains privative et d'une connexion Wi-Fi gratuite.

Les chambres sont équipées d'une télévision à écran plat, d'un téléphone et d'un bureau. Les chambres familiales peuvent accueillir 4 à 5 personnes.

L'Hôtel Le Bayeux sert tous les jours un petit-déjeuner buffet et comprend des distributeurs automatiques. Il fournit un service de blanchisserie, et des journaux internationaux sont chaque jour mis à votre disposition dans le hall. Un service de navette permettant de faire des excursions ou rejoindre l'aéroport est également disponible sur demande.

L'hôtel se trouve à 10 minutes à pied de la gare de Bayeux, à 350 mètres du Musée de la tapisserie et à 550 mètres de la cathédrale Notre-Dame. La ville de Bayeux est à 10 km des plages du débarquement.",https://www.booking.com/hotel/fr/le-bayeux.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsjS66gGwAIB0gIkYmU2N2E5YzktOWNkYS00MTYxLWJiN2YtNDIzMjdlMzE0ZmVi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b9f770a4e695001e&srepoch=1696262474&from_sustainable_property_sr=1&from=searchresults
3,Le Havre ,Student Factory Le Havre Les Docks,"8,8",49.488044,0.133123,"Doté d'un salon commun, le Student Factory Le Havre Les Docks est situé au Havre, à moins de 2,5 km du Volcan et de l'appartement témoin Perret.

Certains logements comprennent une kitchenette équipée de plaques de cuisson.

Une terrasse bien exposée est présente.

Vous séjournerez à 3 km de l'église Saint-Michel et à 3,2 km de l'église Saint-Joseph. L'aéroport le plus proche, celui du Havre-Octeville, est situé à 8 km.",https://www.booking.com/hotel/fr/student-factory-le-havre-les-docks.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC0NLrqAbAAgHSAiRiZWE4Mzk4Ny0xYjQ1LTRiZDQtYTkwNS1iZDZjNmY3YzgwNTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=85cd70a8a1b70201&srepoch=1696262481&from_sustainable_property_sr=1&from=searchresults
4,Rouen ,studi'home,"8,1",49.443658,1.090557,"Situé à moins de 600 mètres du centre de Rouen, le Studi'home dispose d'une connexion Wi-Fi gratuite ainsi que d'une cuisine avec un four, un micro-ondes et un grille-pain.

Vous pourrez jouer au billard sur place ou faire de la pub dans les environs.

Vous séjournerez à proximité de la cathédrale Notre-Dame, de la gare de Rouen Rive Droite et du musée des Beaux-Arts de Rouen. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 85 km.",https://www.booking.com/hotel/fr/studi-39-home.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC19LrqAbAAgHSAiQxNWEyZDUxOS1jNmQwLTQ5ZjItYjAwNS04NGZjMjZkM2JiNTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=6e7b70ab998e0262&srepoch=1696262488&from=searchresults
5,Paris ,Hôtel Korner Etoile,"8,3",48.88531807,2.2933808,"Installé à 1,5 km du palais des congrès de Paris, l’Hôtel Korner Etoile comprend des hébergements insonorisés et climatisés avec une connexion Wi-Fi gratuite. Vous séjournerez à 15 minutes à pied du parc Monceau et à moins de 20 minutes de marche de l’Arc de Triomphe.

Revêtues de parquet et meublées avec simplicité, toutes les chambres incluent une télévision par câble à écran plat et une salle de bains privative avec une douche.

Chaque matin, l’Hôtel Korner Etoile sert un petit-déjeuner buffet dans la salle prévue à cet effet.
L’établissement propose gratuitement une connexion Wi-Fi dans l’ensemble de ses locaux et des boissons chaudes à l’arrivée. La réception est ouverte 24h/24.

Située à moins de 1 minute à pied, la station de métro Porte de Champerret assure un accès direct à l’opéra Garnier et au Marais.",https://www.booking.com/hotel/fr/le-villiers.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC3dLrqAbAAgHSAiRmN2I3NTZjNC1jYjRiLTRjMTUtYTRkNC1iNDMwNzU4OWNlZTXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=5e0a70aed69b00cf&srepoch=1696262495&from_sustainable_property_sr=1&from=searchresults
6,Amiens ,L'Hortillon D'Or - TVHD - Wifi,,49.8853896,2.3316841,"L'Hortillon D'Or - TVHD - Wifi is located in Amiens, 2 km from Amiens Train Station, 6.1 km from Zénith d'Amiens, and 3 km from The Floating gardens Park. This apartment is 7.1 km from University of Picardie Jules Verne and 8.1 km from Amiens Golf Club.

With free WiFi, this 1-bedroom apartment provides a flat-screen TV, a washing machine and a kitchen with an oven and microwave. Towels and bed linen are provided in the apartment.

Berny's Museum is 4.4 km from the apartment, while Tribunal de Grande Instance of Amiens is 3.2 km away. The nearest airport is Beauvais–Tillé Airport, 66 km from L'Hortillon D'Or - TVHD - Wifi.",https://www.booking.com/hotel/fr/hortillon-d-or-tvhd-wifi.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuTS66gGwAIB0gIkZjgxYWRiYzgtM2QwNy00ZWUwLTgxZGEtMTc0ODQyYzVmNDJm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ab3070b216ab0255&srepoch=1696262502&from_sustainable_property_sr=1&from=searchresults
7,Lille ,ibis Styles Lille Centre Gare Beffroi,"7,8",50.63238245,3.06794286,"L’ibis Styles Lille Centre Gare Beffroi vous accueille dans le centre-ville de Lille, à 600 mètres des gares de Lille-Europe et de Lille-Flandres. Le centre des congrès Lille Grand Palais et le complexe Nouveau Siècle se trouvent à 1 km.

Toutes les chambres comprennent une télévision à écran plat, une connexion Wi-Fi gratuite et une salle d’eau privative.

Chaque matin, le petit-déjeuner vous sera servi. Vous pourrez vous détendre avec une boisson dans le bar sur place. Des événements d’entreprise peuvent être organisés dans les 3 salles de réunion modernes.

Le quartier commerçant et d’affaires Euralille se trouve à 10 minutes de marche. Vous rejoindrez le stade Pierre-Mauroy en 15 minutes de route.",https://www.booking.com/hotel/fr/ibis-styles-lille-centre-gare-beffroi.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC69LrqAbAAgHSAiRkZTJiMWUxNS0xYjAxLTQwMzItOGU4OS1iZTYyMTQ2OTVmZDjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=007b70b5eeaf01eb&srepoch=1696262508&from=searchresults
8,Strasbourg ,Hôtel Campanile Strasbourg Aéroport Lingolsheim,"7,1",48.56176222,7.69705474,"L’Hôtel Campanile Strasbourg Aéroport Lingolsheim est situé près du centre-ville et du Zénith de Strasbourg. Cet établissement propose des chambres climatisées dotées d'une télévision à écran plat et offrant un accès direct à l’extérieur.

Affichant une décoration moderne, toutes les chambres sont directement accessibles depuis l'extérieur. Elles sont équipées d'une connexion Wi-Fi gratuite et d'un plateau/bouilloire. Leur salle de bains privative est pourvue d’un sèche-cheveux.

Ouvert du lundi au vendredi, le restaurant sert une cuisine française traditionnelle dans l'élégante salle à manger. Vous pourrez aussi dîner sur la terrasse.

Lors de votre séjour, vous bénéficierez d’un parking privé gratuit. Enfin, la frontière allemande se trouve à 16 minutes de route du Campanile Hotel Strasbourg Aéroport.",https://www.booking.com/hotel/fr/htlrestlingolsheim.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALy0uuoBsACAdICJDYzZTc0YTY3LWUwZTItNDllZi1iZTAwLThkMDFiNzk1MTk4M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b73470b9e53701bc&srepoch=1696262515&from_sustainable_property_sr=1&from=searchresults
9,Château du Haut-Kœnigsbourg ,Appartement des Sorcieres - Witches Apartment,"9,5",48.2567086,7.4508171,"L'Appartement des Sorcieres - Witches Apartment est situé à Sélestat, à 21 km du parc des expositions Colmar Expo, à 24 km de la Maison des Têtes et de la collégiale Saint-Martin. Il se trouve à 13 km du château du Haut Koenigsbourg et dispose d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.

Cet appartement comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur le jardin.

Le personnel de la réception pourra vous fournir des informations sur la région.

Vous séjournerez à 25 km de la gare de Colmar et à 27 km du musée Würth. L'aéroport international de Strasbourg, le plus proche, est à 39 km.",https://www.booking.com/hotel/fr/appartement-des-sorcieres-witches-apartment.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAL60uuoBsACAdICJDUzMDE0MGY2LWIwYTYtNDdjNS04NDg3LTBmZjUwZjk0Y2NlMtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=486670bce42801f5&srepoch=1696262523&from=searchresults
